author,occupation,description,gender
Michael Merzenich,Neuroscientist,Michael Merzenich studies neuroplasticity _ã the brain's powerful ability to change itself and adapt _ã and ways we might make use of that plasticity to heal injured brains and enhance the skills in healthy ones.,male
Michael Metcalfe,Financial expert,"A senior managing director and head of global macro strategy at State Street Global Markets, Michael Metcalfe provides high quality capital flow research.",male
Michael Moschen,Juggler,"Quite simply, Michael Moschen has revolutionized juggling, refining it into an art and a bit of a science. With a few flying balls and well-chosen props he will completely re-wire your notions of the physically possible.",male
Michael Norton,Social science researcher,"Through clever studies, Michael Norton studies how we feel about what we buy and spend.",male
Michael Pawlyn,Architect,"Michael Pawlyn takes cues from nature to make new, sustainable architectural environments.",male
Michael Pollan,Environmental writer,"Michael Pollan is the author of The Omnivore_ã_s Dilemma, in which he explains how our food not only affects our health but has far-reaching political, economic, and environmental implications. His new book is In Defense of Food.",male
Michael Porter,Business strategist,Michael E. Porter wrote the books on modern competitive strategy for business. Now he is thinking deeply about the intersection between society and corporate interests.,male
Michael Rubinstein,"Research scientist, Google","Computer scientist Michael Rubinstein and his team have developed a ""motion microscope"" that can show video footage of barely perceivable movements, like breaths and heartbeats.",male
Michael Sandel,Political philosopher,"Michael Sandel teaches political philosophy at Harvard, exploring some of the most hotly contested moral and political issues of our time.",male
Michael Shermer,Skeptic,"Michael Shermer debunks myths, superstitions and urban legends _ã and explains why we believe them. Along with publishing Skeptic Magazine, he's author of Why People Believe Weird Things and The Mind of the Market.",male
Michael Specter,Writer,"Michael Specter is a staff writer for the New Yorker. His new book, Denialism, asks why we have increasingly begun to fear scientific advances instead of embracing them.",male
Michael Tilson Thomas,"Musician, Conductor","Conductor Michael Tilson Thomas (call him MTT) is an all-around music educator _ã connecting with global audiences, young musicians and concertgoers in San Francisco and London.",male
Michel Laberge,Plasma physicist,"In a lab near Vancouver, Michel Laberge and his team at General Fusion are building a prototype fusion reactor that mimics the processes of the sun to produce cheap, clean and abundant energy.",male
Mick Cornett,Mayor,"Mick Cornett is mayor of Oklahoma City, OK.",male
Mick Ebeling,Entrepreneur,"Mick Ebeling founded the Not Impossible Foundation, a nonprofit that develops creative solutions to real-world problems.",male
Mick Mountz,"CEO, Kiva Systems","Mick Mountz is the founder and CEO of Kiva Systems, making high-tech products for fast, cheap and efficient inventory fulfillment. In March 2012, Kiva was acquired by Amazon.",male
Miguel Nicolelis,Neuroscientist,Miguel Nicolelis explores the limits of the brain-machine interface.,male
Mihaly Csikszentmihalyi,Positive psychologist,"Mihaly Csikszentmihalyi has contributed pioneering work to our understanding of happiness, creativity, human fulfillment and the notion of ""flow"" _ã a state of heightened focus and immersion in activities such as art, play and work.",male
Mike deGruy,Filmmaker,"Mike deGruy filmed in and on the ocean for more than three decades _ã becoming almost as famous for his storytelling as for his glorious, intimate visions of the sea and the creatures who live in it.",male
Mike Matas,Software engineer,"While at Apple, Mike Matas helped write the user interface for the iPhone and iPad. Now with Push Pop Press, he's helping to rewrite the electronic book.",male
Mike Rowe,TV host,"Mike Rowe is the host of ""Dirty Jobs"" _ã an incredibly entertaining and heartfelt tribute to hard labor.",male
Mike Velings,Entrepreneur and conservationist,Mike Velings understands the potential for business to create durable solutions to complex world problems.,male
Mikko Hypponen,Cybersecurity expert,"As computer access expands, Mikko Hypponen asks: What's the next killer virus, and will the world be able to cope with it? And also: How can we protect digital privacy in the age of government surveillance?",male
Milton Glaser,Graphic designer,"If his career began and ended with ""I [heart] N Y,"" Milton Glaser would still be a legend. But over his multi-decade career, his body of work is sprinkled with similarly iconic images and logos.",male
Misha Glenny,Underworld investigator,Journalist Misha Glenny leaves no stone unturned (and no failed state unexamined) in his excavation of criminal globalization.,male
Mitch Resnick,Computer scientist,"Mitch Resnick directs the Lifelong Kindergarten group at MIT Media Lab, dedicated to helping kids of all ages tinker and experiment with design.",male
Mitchell Joachim,"Architect, designer","Soft cars, jet packs and houses made of meat are all in a day's work for urban designer, architect and TED Fellow Mitchell Joachim.",male
Mohamed Ali,Human rights advocate,Human rights advocate Mohamed Ali fights terrorism with entrepreneurship. ,male
Mohamed Hijri,Biologist,"Mohamed Hijri studies arbuscular mycorrhizal fungi (AMF), seeking to understand the structure, evolution and reproduction of these organisms, which form a symbiotic relationship with plant roots.",male
Moran Cerf,Brain hacker,Moran Cerf studies the underlying mechanisms of our psychology by eavesdropping on the activity of our brain from the inside out.,male
Morgan Spurlock,Filmmaker,"Morgan Spurlock makes documentary film and TV that is personal, political _ã and, above all, deeply empathetic.",male
Moshe Safdie,Architect,Moshe Safdie's buildings _ã from grand libraries to intimate apartment complexes _ã explore the qualities of light and the nature of private and public space.,male
Mundano,Graffiti artist + activist,"Mundano's bold, colorful street art isn't just eye candy. His projects call attention to social, environmental and political issues, while raising chuckles from passersby.",male
Munir Virani,"Raptor biologist, wildlife photographer","Munir Virani is a raptor biologist and wildlife photographer, and Director of the Peregrine Fund Africa Program, devoted to conserving birds of prey.",male
Murray Gell-Mann,Physicist,"Murray Gell-Mann brings visibility to a crucial aspect of our existence that we can't actually see: elemental particles. He won the Nobel Prize in Physics for introducing quarks, one of two fundamental ingredients for all matter in the universe.",male
Mustafa Akyol,Journalist,"Mustafa Akyol is a columnist for Turkey's oldest English-language daily, Hurriyet Daily News.",male
Nanê Vasconcelos,Music icon,"A jazz icon since the late 1960s, Nanê Vasconcelos contributed Latin percussion to some of the world_ã_s most cerebral, soulful music. ",male
Nandan Nilekani,Technologist and visionary,"Nandan Nilekani is the author of ""Imagining India,"" a radical re-thinking of one of the world_ã_s great economies. The co-founder of Infosys, he helped move India into the age of IT.",male
Nate Silver,Statistician,Math whiz and baseball fan Nate Silver was mainly known for predicting outcomes in fantasy ballgames _ã until his technique hit a home run calling the outcome of the 2008 election primaries. ,male
Nathaniel Kahn,Filmmaker,"Nathaniel Kahn is an Oscar- and Emmy-nominated maker of documentary films. His journey to understand his distant father _ã the legendary modern architect Louis Kahn _ã became the film ""My Architect."" ",male
Navi Radjou,Innovation strategist,"Drawing inspiration from frugal innovators in emerging markets, Navi Radjou helps businesses with limited resources discover unexpected ways to succeed.",male
Neil Burgess,Neuroscientist,"At University College in London, Neil Burgess researches how patterns of electrical activity in brain cells guide us through space.",male
Neil Harbisson,Sonochromatic Cyborg Artist,"Neil Harbisson's ""eyeborg"" allows him to hear colors, even those beyond the range of sight.",male
Neil MacGregor,Director of The British Museum,"The writer and presenter of the BBC Radio 4 series ""A History of the World in 100 Objects"" and the accompanying book. ",male
